"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2023","7,202.79","7,198.24","7,227.59","7,170.94","50.82M","-0.09%"
"06/06/2023","7,209.00","7,189.63","7,219.37","7,175.60","53.48M","0.11%"
"06/05/2023","7,200.91","7,294.81","7,294.81","7,193.37","54.50M","-0.96%"
"06/02/2023","7,270.69","7,181.80","7,278.00","7,179.31","71.14M","1.87%"
"06/01/2023","7,137.43","7,139.39","7,171.60","7,090.46","58.14M","0.55%"
"05/31/2023","7,098.70","7,136.17","7,185.13","7,083.60","214.68M","-1.54%"
"05/30/2023","7,209.75","7,279.88","7,296.38","7,195.38","69.22M","-1.29%"
"05/29/2023","7,303.81","7,352.93","7,356.57","7,292.11","33.46M","-0.21%"
"05/26/2023","7,319.18","7,256.50","7,334.31","7,208.44","58.22M","1.24%"
"05/25/2023","7,229.27","7,261.05","7,261.05","7,197.40","59.44M","-0.33%"
"05/24/2023","7,253.46","7,306.14","7,308.59","7,223.58","77.51M","-1.70%"
"05/23/2023","7,378.71","7,457.18","7,459.37","7,378.71","65.79M","-1.33%"
"05/22/2023","7,478.16","7,467.93","7,493.38","7,452.69","57.44M","-0.18%"
"05/19/2023","7,491.96","7,469.78","7,523.56","7,463.96","67.97M","0.61%"
"05/18/2023","7,446.89","7,440.75","7,481.78","7,426.39","59.99M","0.64%"
"05/17/2023","7,399.44","7,378.83","7,422.58","7,354.54","57.78M","-0.09%"
"05/16/2023","7,406.01","7,394.85","7,427.57","7,377.81","61.26M","-0.16%"
"05/15/2023","7,418.21","7,443.38","7,455.63","7,397.86","48.64M","0.05%"
"05/12/2023","7,414.85","7,420.41","7,463.70","7,395.60","58.34M","0.45%"
"05/11/2023","7,381.78","7,383.58","7,436.94","7,333.92","64.31M","0.28%"
"05/10/2023","7,361.20","7,403.62","7,416.32","7,337.66","75.39M","-0.49%"
"05/09/2023","7,397.17","7,415.01","7,419.90","7,358.45","63.46M","-0.59%"
"05/08/2023","7,440.91","7,427.96","7,456.46","7,416.22","46.79M","0.11%"
"05/05/2023","7,432.93","7,388.01","7,437.60","7,354.60","70.69M","1.26%"
"05/04/2023","7,340.77","7,381.40","7,393.02","7,316.14","79.97M","-0.85%"
"05/03/2023","7,403.83","7,410.56","7,445.95","7,395.82","61.11M","0.28%"
