"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2024","55.94","55.60","56.78","55.32","4.19M","-1.24%"
"11/29/2024","56.64","55.60","56.93","55.55","3.40M","0.89%"
"11/28/2024","56.14","55.88","56.39","55.55","2.38M","0.92%"
"11/27/2024","55.63","55.70","55.75","54.63","4.62M","-1.19%"
"11/26/2024","56.30","56.50","56.86","56.02","2.95M","-1.19%"
"11/25/2024","56.98","57.31","57.38","56.36","4.79M","0.11%"
"11/22/2024","56.92","58.60","58.76","56.13","5.61M","-2.23%"
"11/21/2024","58.22","58.33","58.62","57.87","3.48M","-0.46%"
"11/20/2024","58.49","59.53","59.61","58.23","3.04M","-1.38%"
"11/19/2024","59.31","60.28","60.81","58.42","3.30M","-1.84%"
"11/18/2024","60.42","60.26","60.59","60.03","1.54M","0.52%"
"11/15/2024","60.11","59.23","60.40","59.17","2.30M","1.08%"
"11/14/2024","59.47","59.38","59.92","59.13","2.11M","0.59%"
"11/13/2024","59.12","59.15","59.84","58.49","2.78M","-0.44%"
"11/12/2024","59.38","60.17","60.38","59.07","3.87M","-2.56%"
"11/11/2024","60.94","60.01","60.94","59.94","3.06M","1.97%"
"11/08/2024","59.76","59.26","59.78","58.83","4.73M","1.20%"
"11/07/2024","59.05","60.96","61.33","59.05","5.32M","-3.31%"
"11/06/2024","61.07","63.56","63.98","60.47","5.05M","-2.66%"
"11/05/2024","62.74","62.79","62.96","62.02","2.15M","-0.21%"
"11/04/2024","62.87","62.99","63.44","62.67","1.95M","-0.27%"
"11/01/2024","63.04","62.57","63.42","62.35","3.01M","0.46%"
"10/31/2024","62.75","61.79","62.86","60.60","7.01M","-4.20%"
"10/30/2024","65.50","65.51","65.86","64.79","2.07M","-0.67%"
"10/29/2024","65.94","66.60","66.99","65.75","2.29M","-0.12%"
"10/28/2024","66.02","65.73","66.12","65.29","1.88M","1.06%"
"10/25/2024","65.33","65.16","65.91","65.08","1.46M","0.00%"
"10/24/2024","65.33","65.32","65.93","65.27","1.75M","0.15%"
"10/23/2024","65.23","65.52","65.80","65.12","1.70M","-0.72%"
"10/22/2024","65.70","65.56","65.85","64.84","1.31M","-0.15%"
"10/21/2024","65.80","65.97","66.31","65.08","1.75M","-0.71%"
"10/18/2024","66.27","65.32","66.72","65.28","3.18M","1.01%"
"10/17/2024","65.61","64.53","65.95","64.48","3.54M","1.75%"
"10/16/2024","64.48","63.47","64.48","63.22","2.55M","1.21%"
"10/15/2024","63.71","63.05","63.81","62.64","2.93M","1.26%"
"10/14/2024","62.92","62.33","62.92","62.12","1.50M","1.22%"
"10/11/2024","62.16","61.86","62.51","61.75","1.45M","0.39%"
"10/10/2024","61.92","62.11","62.45","61.88","1.50M","-0.29%"
"10/09/2024","62.10","61.95","62.14","61.46","1.93M","0.32%"
"10/08/2024","61.90","61.16","62.15","61.11","1.70M","0.15%"
