"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","61.40","61.38","61.74","61.26","3.26M","0.29%"
"09/16/2024","61.22","60.71","61.29","60.68","","0.25%"
"09/13/2024","61.07","60.97","61.40","60.89","2.60M","0.26%"
"09/12/2024","60.91","60.73","61.15","60.30","3.35M","1.20%"
"09/11/2024","60.19","59.91","60.46","59.64","3.50M","0.53%"
"09/10/2024","59.87","60.80","61.21","59.48","3.67M","-1.79%"
"09/09/2024","60.96","60.29","61.07","60.22","3.95M","1.84%"
"09/06/2024","59.86","60.10","60.65","59.72","4.01M","-1.16%"
"09/05/2024","60.56","60.17","60.99","60.14","3.77M","0.65%"
"09/04/2024","60.17","60.39","61.02","59.91","3.56M","-0.56%"
"09/03/2024","60.51","62.41","62.65","60.46","3.57M","-3.15%"
"09/02/2024","62.48","62.16","62.59","61.97","1.39M","0.47%"
"08/30/2024","62.19","62.86","63.41","62.07","4.43M","-0.83%"
"08/29/2024","62.71","62.15","62.74","61.87","2.23M","0.48%"
"08/28/2024","62.41","62.77","62.91","62.28","2.20M","-0.49%"
"08/27/2024","62.72","63.28","63.44","62.71","1.88M","-0.22%"
"08/26/2024","62.86","62.36","63.13","62.15","2.11M","1.13%"
"08/23/2024","62.16","61.99","62.24","61.92","2.36M","0.88%"
"08/22/2024","61.62","61.51","61.99","61.48","2.05M","-0.82%"
"08/21/2024","62.13","61.99","62.25","61.72","1.81M","0.26%"
"08/20/2024","61.97","62.50","62.68","61.97","2.19M","-1.51%"
"08/19/2024","62.92","62.29","63.11","62.14","2.04M","0.95%"
"08/16/2024","62.33","62.43","62.67","61.93","3.09M","-0.24%"
"08/15/2024","62.48","61.88","62.59","61.61","2.24M","1.66%"
"08/14/2024","61.46","61.58","61.80","61.01","2.13M","0.20%"
"08/13/2024","61.34","61.94","62.04","61.03","2.28M","-0.62%"
"08/12/2024","61.72","61.66","61.99","61.38","2.43M","0.60%"
"08/09/2024","61.35","61.29","61.60","60.88","1.90M","0.72%"
"08/08/2024","60.91","60.75","61.12","60.29","2.57M","-0.02%"
"08/07/2024","60.92","59.35","61.32","59.33","4.21M","2.85%"
"08/06/2024","59.23","59.93","59.96","58.32","3.93M","-0.45%"
"08/05/2024","59.50","59.52","59.74","57.99","5.14M","-2.68%"
"08/02/2024","61.14","61.30","62.21","61.06","4.19M","-1.24%"
"08/01/2024","61.91","62.32","62.89","61.66","3.22M","-0.91%"
"07/31/2024","62.48","62.59","63.20","62.33","4.07M","0.64%"
"07/30/2024","62.08","62.19","62.45","61.76","2.38M","0.55%"
"07/29/2024","61.74","62.79","63.08","61.52","1.95M","-0.63%"
"07/26/2024","62.13","62.69","62.94","61.98","2.59M","0.26%"
"07/25/2024","61.97","61.42","62.11","60.52","2.59M","-0.78%"
"07/24/2024","62.46","61.89","62.54","61.47","2.48M","0.53%"
"07/23/2024","62.13","62.83","63.13","62.06","2.67M","-1.60%"
"07/22/2024","63.14","62.94","63.31","62.54","2.46M","0.65%"
"07/19/2024","62.73","63.50","63.66","62.56","4.16M","-1.68%"
"07/18/2024","63.80","63.09","63.98","63.06","3.42M","1.54%"
"07/17/2024","62.83","62.30","63.28","62.27","2.86M","0.85%"
"07/16/2024","62.30","63.20","63.20","62.07","2.56M","-1.55%"
"07/15/2024","63.28","63.47","63.70","62.94","3.07M","-0.35%"
"07/12/2024","63.50","63.53","63.94","63.22","3.14M","1.08%"
"07/11/2024","62.82","63.06","63.35","62.47","3.13M","-0.35%"
"07/10/2024","63.04","63.00","63.45","62.80","3.03M","-0.28%"
"07/09/2024","63.22","64.16","64.21","62.92","3.56M","-2.26%"
"07/08/2024","64.68","64.82","65.42","64.64","2.73M","-1.04%"
"07/05/2024","65.36","65.65","65.88","64.96","3.00M","-0.65%"
"07/04/2024","65.79","64.92","65.79","64.81","2.69M","1.48%"
"07/03/2024","64.83","64.06","64.93","64.04","3.73M","1.28%"
"07/02/2024","64.01","64.00","64.43","63.24","3.57M","0.63%"
"07/01/2024","63.61","63.40","64.40","63.19","3.97M","2.05%"
"06/28/2024","62.33","62.75","62.92","61.96","3.84M","0.47%"
"06/27/2024","62.04","62.12","62.36","61.88","2.28M","0.00%"
"06/26/2024","62.04","63.22","63.37","61.88","3.71M","-1.34%"
"06/25/2024","62.88","62.92","63.37","62.63","2.93M","0.59%"
"06/24/2024","62.51","61.43","62.63","61.39","2.74M","1.20%"
"06/21/2024","61.77","62.00","62.29","61.41","7.66M","-0.87%"
"06/20/2024","62.31","61.86","62.69","61.54","4.95M","0.86%"
"06/19/2024","61.78","62.27","62.64","61.74","3.88M","-1.72%"
"06/18/2024","62.86","62.04","63.04","61.69","3.66M","1.39%"
"06/17/2024","62.00","61.23","62.29","61.21","3.55M","0.94%"
"06/14/2024","61.42","62.39","62.63","60.85","6.71M","-1.43%"
"06/13/2024","62.31","63.85","64.05","62.23","4.99M","-2.55%"
"06/12/2024","63.94","64.10","64.60","63.70","3.03M","-0.25%"
"06/11/2024","64.10","65.29","65.76","63.96","3.74M","-1.70%"
"06/10/2024","65.21","64.35","65.21","63.88","3.70M","0.42%"
"06/07/2024","64.94","64.93","65.35","64.63","3.18M","-0.05%"
"06/06/2024","64.97","64.89","64.97","64.32","2.71M","0.39%"
"06/05/2024","64.72","64.70","65.47","64.29","2.95M","0.61%"
"06/04/2024","64.33","64.87","65.11","63.89","4.54M","-2.41%"
"06/03/2024","65.92","67.40","67.76","65.84","2.96M","-1.63%"
"05/31/2024","67.01","65.62","67.01","65.60","9.41M","2.60%"
"05/30/2024","65.31","65.43","65.58","64.87","3.50M","-0.49%"
"05/29/2024","65.63","66.35","66.94","65.57","3.24M","-0.77%"
"05/28/2024","66.14","66.72","66.95","66.03","1.88M","-0.39%"
"05/27/2024","66.40","66.02","66.51","65.88","1.55M","0.62%"
"05/24/2024","65.99","65.48","66.09","65.13","2.35M","0.44%"
"05/23/2024","65.70","65.21","66.04","65.16","2.05M","0.81%"
"05/22/2024","65.17","65.90","65.93","65.13","3.03M","-1.85%"
"05/21/2024","66.40","66.80","66.97","66.08","2.66M","-0.90%"
"05/20/2024","67.00","67.39","67.95","67.00","2.15M","0.07%"
"05/17/2024","66.95","66.61","67.36","66.55","3.52M","0.74%"
"05/16/2024","66.46","67.56","67.73","66.13","3.43M","-1.50%"
"05/15/2024","67.47","68.75","68.92","67.10","2.71M","-1.24%"
"05/14/2024","68.32","68.75","69.03","68.24","1.72M","-0.63%"
"05/13/2024","68.75","68.61","68.92","68.33","1.63M","0.10%"
"05/10/2024","68.68","68.67","69.20","68.57","3.11M","0.48%"
"05/09/2024","68.35","67.41","68.43","67.41","2.42M","1.67%"
"05/08/2024","67.23","66.98","67.31","66.62","2.52M","0.24%"
"05/07/2024","67.07","67.19","67.49","66.92","2.16M","-0.28%"
"05/06/2024","67.26","66.93","67.49","66.72","1.73M","1.36%"
"05/03/2024","66.36","66.85","67.16","65.99","2.80M","-0.73%"
"05/02/2024","66.85","67.74","67.93","66.26","4.08M","-2.54%"
"04/30/2024","68.59","69.68","69.85","68.58","3.60M","-0.95%"
"04/29/2024","69.25","69.07","69.75","68.88","3.28M","-0.33%"
"04/26/2024","69.48","67.88","70.11","67.79","4.90M","2.09%"
"04/25/2024","68.06","67.81","68.18","67.44","2.71M","0.22%"
"04/24/2024","67.91","68.49","68.70","67.64","2.56M","0.00%"
"04/23/2024","67.91","68.00","68.49","67.62","2.65M","0.01%"
"04/22/2024","67.90","67.55","68.05","67.25","2.60M","0.92%"
"04/19/2024","67.28","66.98","67.54","66.18","4.15M","-0.21%"
"04/18/2024","67.42","67.27","67.65","66.75","3.72M","-0.35%"
"04/17/2024","67.66","67.22","68.01","67.21","2.97M","0.61%"
"04/16/2024","67.25","67.42","67.73","65.40","3.25M","-1.52%"
"04/15/2024","68.29","68.90","69.15","68.16","3.61M","-1.16%"
"04/12/2024","69.09","68.55","69.32","68.48","3.39M","2.05%"
"04/11/2024","67.70","68.40","69.10","67.51","3.41M","-0.56%"
"04/10/2024","68.08","67.86","68.30","67.30","3.07M","1.01%"
"04/09/2024","67.40","67.73","68.09","67.18","3.01M","-0.78%"
"04/08/2024","67.93","66.73","68.11","66.68","3.53M","1.69%"
"04/05/2024","66.80","67.19","67.38","66.74","3.54M","-0.37%"
"04/04/2024","67.05","66.57","67.19","66.50","3.49M","0.59%"
"04/03/2024","66.66","66.29","66.76","65.98","3.60M","1.06%"
"04/02/2024","65.96","64.20","66.06","64.20","6.17M","3.92%"
"03/28/2024","63.47","63.39","63.66","63.18","3.45M","0.68%"
"03/27/2024","63.04","62.60","63.46","62.29","2.69M","0.10%"
"03/26/2024","62.98","63.00","63.48","62.76","2.68M","-0.40%"
"03/25/2024","63.23","62.75","63.38","62.72","2.82M","0.60%"
"03/22/2024","62.85","62.70","63.24","62.51","2.40M","-0.11%"
"03/21/2024","62.92","63.50","63.77","62.77","3.75M","-0.44%"
"03/20/2024","63.20","63.35","63.57","62.96","4.24M","-1.71%"
