"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2025","464.05","459.80","466.20","459.60","380.82K","0.73%"
"06/17/2025","460.70","461.40","467.25","459.15","409.25K","-1.42%"
"06/16/2025","467.35","461.30","469.60","461.30","428.70K","1.29%"
"06/13/2025","461.40","460.00","463.25","457.25","574.85K","-1.59%"
"06/12/2025","468.85","468.00","472.30","462.95","525.88K","-0.37%"
"06/11/2025","470.60","476.85","482.75","470.50","637.54K","-0.90%"
"06/10/2025","474.85","466.75","475.40","466.15","524.85K","0.70%"
"06/09/2025","471.55","471.00","477.35","470.45","390.45K","0.06%"
"06/06/2025","471.25","468.00","474.15","467.70","289.49K","0.24%"
"06/05/2025","470.10","481.15","483.95","467.70","545.28K","-1.37%"
"06/04/2025","476.65","475.00","479.30","470.90","529.99K","0.64%"
"06/03/2025","473.60","475.80","477.75","466.00","594.66K","-0.75%"
"06/02/2025","477.20","471.85","478.90","467.35","432.94K","-0.22%"
"05/30/2025","478.25","481.10","483.50","477.15","930.26K","-0.62%"
"05/29/2025","481.25","495.10","497.65","479.20","367.40K","-0.50%"
"05/28/2025","483.65","485.00","486.10","481.70","533.96K","0.36%"
"05/27/2025","481.90","475.75","485.00","475.40","440.67K","-0.32%"
"05/26/2025","483.45","487.05","488.70","480.25","318.16K","0.93%"
"05/23/2025","479.00","486.80","489.85","466.80","830.26K","-1.26%"
"05/22/2025","485.10","486.15","491.95","477.60","762.48K","-1.73%"
"05/21/2025","493.65","498.40","502.10","490.30","582.52K","-2.23%"
"05/20/2025","504.90","499.00","505.60","492.80","491.16K","1.26%"
"05/19/2025","498.60","501.50","505.50","491.45","565.43K","-1.05%"
"05/16/2025","503.90","506.60","510.70","499.25","793.32K","-0.67%"
"05/15/2025","507.30","518.90","521.00","505.80","585.03K","-3.41%"
"05/14/2025","525.20","537.90","537.90","521.20","585.73K","-2.18%"
"05/13/2025","536.90","532.00","541.10","530.20","627.14K","1.21%"
"05/12/2025","530.50","509.00","536.40","508.30","924.87K","7.01%"
"05/09/2025","495.75","492.40","498.25","491.45","503.88K","1.73%"
"05/08/2025","487.30","485.80","496.70","482.35","673.67K","0.79%"
"05/07/2025","483.50","489.10","491.00","482.00","542.05K","-1.14%"
"05/06/2025","489.10","492.00","492.95","484.40","476.85K","-0.64%"
"05/05/2025","492.25","496.80","497.90","490.55","389.64K","-0.73%"
